url,datetime
https://twitter.com/DSCCRoss/status/1488215580834365441,2022-01-31 18:20:18+00:00
https://twitter.com/DSCCRoss/status/1481306555857481731?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1481306555857481731%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fappletrack.com%2Foh-no-this-is-apples-horrible-new-notch-for-iphone-14%2F,2022-01-12 16:46:18+00:00
https://twitter.com/DSCCRoss/status/1483106901416108032?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1483106901416108032%7Ctwgr%5E%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fappletrack.com%2Fnew-iphone-se-may-be-called-se-5g%2F,2022-01-17 14:42:34+00:00
https://twitter.com/DSCCRoss/status/1450684151670009864?s=20,2021-10-20 04:43:48+00:00
https://twitter.com/DSCCRoss/status/1447980008430002180?s=20,2021-10-12 17:34:12+00:00
https://twitter.com/DSCCRoss/status/1447967733971398665?s=20,2021-10-12 16:29:44+00:00
https://twitter.com/DSCCRoss/status/1419728325379969031?s=20,2021-07-26 18:29:49+00:00
https://twitter.com/DSCCRoss/status/1377677792402403328?s=20,2021-04-01 17:42:36+00:00
https://twitter.com/DSCCRoss/status/1312013760031326210?s=20,2020-10-02 12:54:46+00:00
https://twitter.com/DSCCRoss/status/1290645289917804544?s=20,
https://twitter.com/DSCCRoss/status/1278339201092554752?s=20,2020-07-01 14:46:30+00:00
https://twitter.com/markgurman/status/1437140403803672581?s=20,2021-09-12 19:45:47+00:00
https://twitter.com/markgurman/status/1436404979250565120?s=20,2021-09-10 19:03:28+00:00
https://twitter.com/markgurman/status/1383132513728532482?s=20,2021-04-16 18:57:43+00:00
https://twitter.com/markgurman/status/1363004400965275648?s=20,
https://twitter.com/markgurman/status/1362929260487344128?s=20,2021-02-20 00:57:12+00:00
https://twitter.com/markgurman/status/1319738151204581376?s=21,2020-10-23 20:31:09+00:00
https://twitter.com/markgurman/status/1316033069334183936?s=20,2020-10-13 15:08:29+00:00
https://twitter.com/markgurman/status/1316044068275666955?s=20,2020-10-13 15:08:29+00:00
https://twitter.com/markgurman/status/1311414895380819968?s=20,2020-09-30 21:17:30+00:00
https://twitter.com/markgurman/status/1305876352566882304?s=20,2020-09-15 14:29:19+00:00
https://twitter.com/markgurman/status/1305730384076746752?s=20,2020-09-15 04:49:17+00:00
https://twitter.com/markgurman/status/1305755043908395008?s=20,2020-09-15 05:23:47+00:00
https://twitter.com/markgurman/status/1305734274428018690?s=20,2020-09-15 04:49:17+00:00
https://twitter.com/markgurman/status/1303476786693431298?s=20,2020-09-08 23:34:18+00:00
https://twitter.com/markgurman/status/1302685752485003264?s=20,2020-09-06 19:11:00+00:00
https://twitter.com/markgurman/status/1298687564447019009,2020-08-26 18:11:35+00:00
https://twitter.com/markgurman/status/1274851080908632064,2020-06-21 23:43:05+00:00
https://twitter.com/jon_prosser/status/1450201403591479302?s=20,2021-10-18 20:45:32+00:00
https://twitter.com/jon_prosser/status/1438152031668158475?s=20,2021-09-15 14:45:38+00:00
https://twitter.com/jon_prosser/status/1396915038154334214?s=20,2021-05-24 19:44:33+00:00
https://twitter.com/jon_prosser/status/1391710364568543232?s=20,2021-05-10 11:03:02+00:00
https://twitter.com/jon_prosser/status/1387689793648308224?s=20,2021-04-29 08:46:43+00:00
https://twitter.com/jon_prosser/status/1372127918588059648?s=20,2021-03-17 10:09:23+00:00
https://twitter.com/jon_prosser/status/1368871892531154946?s=20,2021-03-08 09:41:03+00:00
https://twitter.com/jon_prosser/status/1368859296507760641?s=20,2021-03-08 09:41:03+00:00
https://twitter.com/jon_prosser/status/1346616132262883331?s=20,2021-01-06 00:34:39+00:00
https://twitter.com/jon_prosser/status/1336047299533938688?s=20,2020-12-07 20:37:53+00:00
https://twitter.com/jon_prosser/status/1316898156911726592,2020-10-16 00:26:02+00:00
https://twitter.com/jon_prosser/status/1316908204681498624?s=20,2020-10-16 01:05:57+00:00
https://twitter.com/jon_prosser/status/1316481019105681415?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1316481019105681415%7Ctwgr%5Eshare_3&ref_url=https%3A%2F%2Fappletrack.com%2Fairtags-ios-14-3-may-ship-as-soon-as-november%2F,2020-10-14 20:48:28+00:00
https://twitter.com/jon_prosser/status/1316073929094631424?s=20,2020-10-13 17:50:50+00:00
https://twitter.com/jon_prosser/status/1316073951169261569?s=20,2020-10-13 17:50:56+00:00
https://twitter.com/jon_prosser/status/1316073968638603264?s=20,2020-10-13 17:51:00+00:00
https://twitter.com/jon_prosser/status/1316073982915948545?s=20,2020-10-13 17:51:03+00:00
https://twitter.com/jon_prosser/status/1316089159128358913,2020-10-13 18:51:21+00:00
https://twitter.com/jon_prosser/status/1314485686809120769?s=20,2020-10-09 08:39:44+00:00
https://twitter.com/jon_prosser/status/1314687533658386448?s=20,2020-10-09 22:01:48+00:00
https://twitter.com/jon_prosser/status/1313974561403215875,2020-10-07 22:41:27+00:00
https://twitter.com/jon_prosser/status/1313269284408381440?s=20,2020-10-06 00:04:48+00:00
https://twitter.com/jon_prosser/status/1310753035606462464?s=20,2020-09-29 01:27:30+00:00
https://twitter.com/jon_prosser/status/1306281069382172677?s=20,2020-09-16 17:17:31+00:00
https://twitter.com/jon_prosser/status/1305883494929891328,2020-09-15 14:57:41+00:00
https://twitter.com/jon_prosser/status/1305654848814297088,2020-09-14 23:49:08+00:00
https://twitter.com/jon_prosser/status/1304492230632181760?s=20,2020-09-11 18:49:18+00:00
https://twitter.com/jon_prosser/status/1302600369495736320?s=20,2020-09-06 13:31:43+00:00
https://twitter.com/jon_prosser/status/1300917132885200897,2020-09-01 22:03:09+00:00
https://twitter.com/jon_prosser/status/1298400181856198657,2020-08-25 23:21:41+00:00
https://twitter.com/jon_prosser/status/1293682812411936768,2020-08-12 22:56:32+00:00
https://twitter.com/jon_prosser/status/1290661228227043330,2020-08-04 14:49:50+00:00
https://twitter.com/jon_prosser/status/1290663144742957057?s=20,2020-08-04 14:49:50+00:00
https://twitter.com/jon_prosser/status/1288959309460766720,2020-07-30 21:56:09+00:00
https://twitter.com/jon_prosser/status/1287517052509605890,2020-07-26 22:24:17+00:00
https://twitter.com/jon_prosser/status/1274738262884655104,2020-06-21 16:17:40+00:00
https://twitter.com/jon_prosser/status/1273639086939611136,2020-06-18 15:29:56+00:00
https://twitter.com/jon_prosser/status/1266511914441551872,2020-05-29 23:29:05+00:00
https://twitter.com/jon_prosser/status/1261265338727006208?s=21,2020-05-15 12:01:04+00:00
https://twitter.com/jon_prosser/status/1258366598710206464,2020-05-07 12:02:31+00:00
https://twitter.com/jon_prosser/status/1258004593784623106,2020-05-06 12:04:02+00:00
https://twitter.com/jon_prosser/status/1257269972637753345,2020-05-04 11:24:55+00:00
https://twitter.com/jon_prosser/status/1257285775298871298,2020-05-04 11:37:27+00:00
https://twitter.com/jon_prosser/status/1255835846558855169,2020-04-30 12:26:12+00:00
https://twitter.com/jon_prosser/status/1252931201708560385,2020-04-22 12:04:11+00:00
https://twitter.com/jon_prosser/status/1251932439846490114,2020-04-19 17:55:28+00:00
https://twitter.com/jon_prosser/status/1252005269657223172,2020-04-19 22:44:52+00:00
https://twitter.com/jon_prosser/status/1251653587110854662,2020-04-18 23:27:24+00:00
https://twitter.com/jon_prosser/status/1250420221388587008,2020-04-15 13:46:27+00:00
https://twitter.com/jon_prosser/status/1249752121551003648,2020-04-13 17:31:39+00:00
https://twitter.com/jon_prosser/status/1248603931040677889,2020-04-10 13:29:09+00:00
https://twitter.com/jon_prosser/status/1248644239724023808,2020-04-10 16:09:20+00:00
https://twitter.com/jon_prosser/status/1247498140468547585,2020-04-07 12:15:08+00:00
https://twitter.com/jon_prosser/status/1246496910174797825,2020-04-04 17:56:36+00:00
https://twitter.com/jon_prosser/status/1245021088855273472,2020-03-31 16:12:13+00:00
https://twitter.com/jon_prosser/status/1243181085883801600,2020-03-26 14:20:42+00:00
https://twitter.com/jon_prosser/status/1242248066046050306,2020-03-24 00:33:13+00:00
https://twitter.com/jon_prosser/status/1240772366000697344,2020-03-19 22:49:19+00:00
https://twitter.com/jon_prosser/status/1240788240053010432,2020-03-19 23:52:23+00:00
https://twitter.com/jon_prosser/status/1239295726355722251,2020-03-15 21:01:40+00:00
https://twitter.com/jon_prosser/status/1239333069519273985,2020-03-15 23:30:04+00:00
https://twitter.com/jon_prosser/status/1238497885878181891,2020-03-13 16:11:20+00:00
https://twitter.com/jon_prosser/status/1238546236808007680,2020-03-13 19:23:28+00:00
https://twitter.com/PineLeaks/status/1435302664808632323?s=20,2021-09-07 18:03:16+00:00
https://twitter.com/PineLeaks/status/1315351119648956417,2020-10-11 17:58:39+00:00
https://twitter.com/PineLeaks/status/1315351123084140545,2020-10-11 17:58:39+00:00
https://twitter.com/PineLeaks/status/1315351128654180354,2020-10-11 17:58:39+00:00
https://twitter.com/MaxWinebach/status/1274738878604337152,2020-06-21 16:20:06+00:00
https://twitter.com/PineLeaks/status/1259316609568686080?s=20&t=UUx4q06lj2T86JulzgyFSA,2020-05-10 02:57:30+00:00
https://twitter.com/PineLeaks/status/1259316610306842626,2020-05-10 02:57:30+00:00
https://twitter.com/PineLeaks/status/1259316611091238914,2020-05-10 02:57:30+00:00
